tag,category,aliases,zh,count,notes
highres,5,high_res|high_resolution|hires,高分辨率,8019379,全文dump逐条审阅：zh与danbooru语义相符，无需改动
commentary_request,5,,请求注释翻译,6256207,danbooru wiki: 注释仅部分翻译需打此tag请求翻译 → 请求注释翻译
commentary,5,commentaries,作者注释,3181971,全文dump逐条审阅：zh与danbooru语义相符，无需改动
absurdres,5,,超高分辨率,2933074,全文dump逐条审阅：zh与danbooru语义相符，无需改动
bad_id,5,,错误ID,1439216,全文dump逐条审阅：zh与danbooru语义相符，无需改动
english_commentary,5,,英文注释,1296260,全文dump逐条审阅：zh与danbooru语义相符，无需改动
bad_pixiv_id,5,,错误Pixiv ID,1099057,全文dump逐条审阅：zh与danbooru语义相符，无需改动
translation_request,5,,请求翻译,837763,全文dump逐条审阅：zh与danbooru语义相符，无需改动
photoshop_(medium),5,photoshop,Photoshop,709649,全文dump逐条审阅：zh与danbooru语义相符，无需改动
translated,5,translation,已翻译,649414,danbooru wiki: 图片带翻译注释；已翻译准确
official_art,5,仕事绘|公式|工作图|版権绘,官方图,532114,danbooru wiki: 官方公司/画师所作图；官方图准确
commission,5,artcommission|com|comission|comm|commissionart|commissionedart|commissions|commissionsart|付费委托|依赖绘|印象服设|委托|有偿依赖|服设|私人稿件|稿件展示|约稿展示,约稿,330116,全文dump逐条审阅：zh与danbooru语义相符，无需改动
chinese_commentary,5,simplified_chinese_commentary,中文注释,310571,全文dump逐条审阅：zh与danbooru语义相符，无需改动
bad_twitter_id,5,,错误Twitter ID,248870,全文dump逐条审阅：zh与danbooru语义相符，无需改动
variant_set,5,,差分,225834,全文dump逐条审阅：zh与danbooru语义相符，无需改动
korean_commentary,5,,韩文注释,196921,全文dump逐条审阅：zh与danbooru语义相符，无需改动
non-web_source,5,,非网页来源,180815,全文dump逐条审阅：zh与danbooru语义相符，无需改动
partial_commentary,5,,部分译注,155589,danbooru wiki: commentary partially translated(通常标题已译) → 部分译注更准确
artist_request,5,tagme_(artist),请求画师,142429,全文dump逐条审阅：zh与danbooru语义相符，无需改动
animated,5,animation,动画,130325,全文dump逐条审阅：zh与danbooru语义相符，无需改动
paid_reward_available,5,reward_available|付费内容,有付费内容,129409,全文dump逐条审阅：zh与danbooru语义相符，无需改动
traditional_media,5,handdrawn|traditional_art|traditionalart|手绘|素描,传统媒介,124775,全文dump逐条审阅：zh与danbooru语义相符，无需改动
copyright_request,5,series_request,请求作品,123066,全文dump逐条审阅：zh与danbooru语义相符，无需改动
md5_mismatch,5,,MD5不匹配,115304,全文dump逐条审阅：zh与danbooru语义相符，无需改动
lowres,5,,低分辨率,112263,全文dump逐条审阅：zh与danbooru语义相符，无需改动
skeb_commission,5,skeb,Skeb约稿,111283,全文dump逐条审阅：zh与danbooru语义相符，无需改动
large_variant_set,5,,大量差分,109423,全文dump逐条审阅：zh与danbooru语义相符，无需改动
